Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
2134,MA,NEWE,540.48
2135,MA,NEWE,540.48
2136,MA,NEWE,540.48
2137,MA,NEWE,540.48
2138,MA,NEWE,540.48
2139,MA,NEWE,540.48
2140,MA,NEWE,540.48
2141,MA,NEWE,540.48
2142,MA,NEWE,540.48
2143,MA,NEWE,540.48
2144,MA,NEWE,540.48
2145,MA,NEWE,540.48
2148,MA,NEWE,540.48
2149,MA,NEWE,540.48
2150,MA,NEWE,540.48
2151,MA,NEWE,540.48
2152,MA,NEWE,540.48
2153,MA,NEWE,540.48
2155,MA,NEWE,540.48
2156,MA,NEWE,540.48
2163,MA,NEWE,540.48
2169,MA,NEWE,540.48
2170,MA,NEWE,540.48
2171,MA,NEWE,540.48
2176,MA,NEWE,540.48
2180,MA,NEWE,540.48
2184,MA,NEWE,540.48
2185,MA,NEWE,540.48
2186,MA,NEWE,540.48
2187,MA,NEWE,540.48
2188,MA,NEWE,540.48
2189,MA,NEWE,540.48
2190,MA,NEWE,540.48
2191,MA,NEWE,540.48
2196,MA,NEWE,540.48
2199,MA,NEWE,540.48
2201,MA,NEWE,540.48
2203,MA,NEWE,540.48
2204,MA,NEWE,540.48
2205,MA,NEWE,540.48
2206,MA,NEWE,540.48
2210,MA,NEWE,540.48
2211,MA,NEWE,540.48
2212,MA,NEWE,540.48
2215,MA,NEWE,540.48
2217,MA,NEWE,540.48
2222,MA,NEWE,540.48
2228,MA,NEWE,540.48
2238,MA,NEWE,540.48
2241,MA,NEWE,540.48
2266,MA,NEWE,540.48
2269,MA,NEWE,540.48
2283,MA,NEWE,540.48
2284,MA,NEWE,540.48
2293,MA,NEWE,540.48
2295,MA,NEWE,540.48
2297,MA,NEWE,540.48
2298,MA,NEWE,540.48
2301,MA,NEWE,540.48
2302,MA,NEWE,540.48
2303,MA,NEWE,540.48
2304,MA,NEWE,540.48
2305,MA,NEWE,540.48
2322,MA,NEWE,540.48
2324,MA,NEWE,540.48
2325,MA,NEWE,540.48
2327,MA,NEWE,540.48
2330,MA,NEWE,540.48
2331,MA,NEWE,540.48
2332,MA,NEWE,540.48
2333,MA,NEWE,540.48
2334,MA,NEWE,540.48
2337,MA,NEWE,540.48
2338,MA,NEWE,540.48
2339,MA,NEWE,540.48
2340,MA,NEWE,540.48
2341,MA,NEWE,540.48
2343,MA,NEWE,540.48
2344,MA,NEWE,540.48
2345,MA,NEWE,540.48
2346,MA,NEWE,540.48
2347,MA,NEWE,540.48
2348,MA,NEWE,540.48
2349,MA,NEWE,540.48
2350,MA,NEWE,540.48
2351,MA,NEWE,540.48
2355,MA,NEWE,540.48
2356,MA,NEWE,540.48
2357,MA,NEWE,540.48
2358,MA,NEWE,540.48
2359,MA,NEWE,540.48
2360,MA,NEWE,540.48
2361,MA,NEWE,540.48
2362,MA,NEWE,540.48
2364,MA,NEWE,540.48
2366,MA,NEWE,540.48
2367,MA,NEWE,540.48
2368,MA,NEWE,540.48
2370,MA,NEWE,540.48
2375,MA,NEWE,540.48
2379,MA,NEWE,540.48
2381,MA,NEWE,540.48
2382,MA,NEWE,540.48
2420,MA,NEWE,540.48
2421,MA,NEWE,540.48
2445,MA,NEWE,540.48
2446,MA,NEWE,540.48
2447,MA,NEWE,540.48
2451,MA,NEWE,540.48
2452,MA,NEWE,540.48
2453,MA,NEWE,540.48
2454,MA,NEWE,540.48
2455,MA,NEWE,540.48
2456,MA,NEWE,540.48
2457,MA,NEWE,540.48
2458,MA,NEWE,540.48
2459,MA,NEWE,540.48
2460,MA,NEWE,540.48
2461,MA,NEWE,540.48
2462,MA,NEWE,540.48
2464,MA,NEWE,540.48
2465,MA,NEWE,540.48
2466,MA,NEWE,540.48
2467,MA,NEWE,540.48
2468,MA,NEWE,540.48
2471,MA,NEWE,540.48
2472,MA,NEWE,540.48
2474,MA,NEWE,540.48
2475,MA,NEWE,540.48
2476,MA,NEWE,540.48
2477,MA,NEWE,540.48
